"year","catch","species"
1950,560307,"COD"
1951,449996,"COD"
1952,260812,"COD"
1953,201107,"COD"
1954,234134,"COD"
1955,303763,"COD"
1956,321466,"COD"
1957,256919,"COD"
1958,437113,"COD"
1959,284049,"COD"
1960,223953,"COD"
1961,331411,"COD"
1962,284104,"COD"
1963,254633,"COD"
1964,201088,"COD"
1965,246446,"COD"
1966,258497,"COD"
1967,259744,"COD"
1968,294307,"COD"
1969,391075,"COD"
1970,431763,"COD"
1971,481265,"COD"
1972,458191,"COD"
1973,338498,"COD"
1974,357809,"COD"
1975,360890,"COD"
1976,431907,"COD"
1977,467431,"COD"
1978,437521,"COD"
1979,376347,"COD"
1980,332374,"COD"
1981,390069,"COD"
1982,391979,"COD"
1983,331703,"COD"
1984,323939,"COD"
1985,311646,"COD"
1986,324937,"COD"
1987,369939,"COD"
1988,331046,"COD"
1989,268850,"COD"
1990,199428,"COD"
1991,260042,"COD"
1992,326325,"COD"
1993,369039,"COD"
1994,489299,"COD"
1995,519141,"COD"
1996,498568,"COD"
1997,552685,"COD"
1998,471589,"COD"
1999,428062,"COD"
2000,385657,"COD"
2001,371101,"COD"
2002,408505,"COD"
2003,323161,"COD"
2004,361881,"COD"
2005,335586,"COD"
2006,348559,"COD"
2007,383689,"COD"
2008,361173,"COD"
2009,368863,"COD"
2010,402308,"COD"
2011,451783,"COD"
2012,468511,"COD"
2013,571025,"COD"
2014,571992,"COD"
2015,517547,"COD"
1950,207100,"POK"
1951,237490,"POK"
1952,206890,"POK"
1953,227580,"POK"
1954,217270,"POK"
1955,243660,"POK"
1956,237260,"POK"
1957,232350,"POK"
1958,220840,"POK"
1959,197030,"POK"
1960,208030,"POK"
1961,207620,"POK"
1962,210210,"POK"
1963,196300,"POK"
1964,228790,"POK"
1965,246290,"POK"
1966,232680,"POK"
1967,208470,"POK"
1968,225860,"POK"
1969,233560,"POK"
1970,271230,"POK"
1971,268647,"POK"
1972,246369,"POK"
1973,245106,"POK"
1974,206314,"POK"
1975,180929,"POK"
1976,192446,"POK"
1977,176038,"POK"
1978,140065,"POK"
1979,136109,"POK"
1980,148317,"POK"
1981,170967,"POK"
1982,205507,"POK"
1983,196858,"POK"
1984,182397,"POK"
1985,201185,"POK"
1986,205733,"POK"
1987,173706,"POK"
1988,185302,"POK"
1989,164469,"POK"
1990,128904,"POK"
1991,122134,"POK"
1992,117307,"POK"
1993,157868,"POK"
1994,186957,"POK"
1995,179623,"POK"
1996,162493,"POK"
1997,168463,"POK"
1998,177872,"POK"
1999,166513,"POK"
2000,162448,"POK"
2001,149697,"POK"
2002,156540,"POK"
2003,137148,"POK"
2004,124876,"POK"
2005,121923,"POK"
2006,153851,"POK"
2007,139480,"POK"
2008,123154,"POK"
2009,119603,"POK"
2010,140734,"POK"
2011,142585,"POK"
2012,158572,"POK"
2013,183399,"POK"
2014,178123,"POK"
2015,177344,"POK"
1950,1600,"ALK"
1951,1400,"ALK"
1952,1800,"ALK"
1953,1900,"ALK"
1954,2200,"ALK"
1955,2400,"ALK"
1956,2400,"ALK"
1957,2400,"ALK"
1958,2800,"ALK"
1959,3100,"ALK"
1960,2700,"ALK"
1961,2500,"ALK"
1962,2800,"ALK"
1963,2500,"ALK"
1964,2400,"ALK"
1965,2600,"ALK"
1966,2600,"ALK"
1967,2300,"ALK"
1968,2300,"ALK"
1969,2400,"ALK"
1970,1993,"ALK"
1971,2049,"ALK"
1972,2114,"ALK"
1973,2217,"ALK"
1974,2242,"ALK"
1975,2253,"ALK"
1976,2363,"ALK"
1977,2403,"ALK"
1978,4215,"ALK"
1979,8010,"ALK"
1980,2538,"ALK"
1981,1933,"ALK"
1982,2800,"ALK"
1983,2477,"ALK"
1984,4038,"ALK"
1985,3094,"ALK"
1986,3064,"ALK"
1987,2802,"ALK"
1988,2981,"ALK"
1989,3163,"ALK"
1990,3902,"ALK"
1991,4153,"ALK"
1992,6098,"ALK"
1993,5174,"ALK"
1994,3416,"ALK"
1995,1852,"ALK"
1996,1361,"ALK"
1997,1747,"ALK"
1998,1453,"ALK"
1999,1484,"ALK"
2000,1671,"ALK"
2001,1285,"ALK"
2002,981,"ALK"
2003,1118,"ALK"
2004,1017,"ALK"
2005,1431,"ALK"
2006,1363,"ALK"
2007,2322,"ALK"
2008,2403,"ALK"
2009,3033,"ALK"
2010,2747,"ALK"
2011,2326,"ALK"
2012,2482,"ALK"
2013,2343,"ALK"
2014,2388,"ALK"
2015,2063,"ALK"
1950,124100,"WHG"
1951,12637,"WHG"
1952,58144,"WHG"
1953,1542,"WHG"
1954,925,"WHG"
1955,1949,"WHG"
1956,460,"WHG"
1957,1135,"WHG"
1958,1995,"WHG"
1959,2528,"WHG"
1960,5672,"WHG"
1961,9903,"WHG"
1962,6143,"WHG"
1963,8492,"WHG"
1964,6928,"WHG"
1965,7074,"WHG"
1966,7339,"WHG"
1967,6517,"WHG"
1968,3147,"WHG"
1969,4397,"WHG"
1970,7879,"WHG"
1971,6873,"WHG"
1972,12701,"WHG"
1973,7304,"WHG"
1974,8598,"WHG"
1975,5978,"WHG"
1976,7175,"WHG"
1977,4681,"WHG"
1978,4787,"WHG"
1979,6999,"WHG"
1980,11061,"WHG"
1981,13455,"WHG"
1982,16565,"WHG"
1983,13130,"WHG"
1984,13538,"WHG"
1985,14891,"WHG"
1986,24282,"WHG"
1987,33071,"WHG"
1988,10643,"WHG"
1989,6359,"WHG"
1990,4799,"WHG"
1991,6904,"WHG"
1992,8664,"WHG"
1993,8029,"WHG"
1994,12042,"WHG"
1995,10789,"WHG"
1996,17111,"WHG"
1997,23110,"WHG"
1998,21924,"WHG"
1999,22682,"WHG"
2000,21775,"WHG"
2001,20516,"WHG"
2002,19223,"WHG"
2003,18982,"WHG"
2004,19972,"WHG"
2005,19243,"WHG"
2006,19157,"WHG"
2007,20396,"WHG"
2008,20380,"WHG"
2009,22220,"WHG"
2010,22483,"WHG"
2011,21348,"WHG"
2012,23272,"WHG"
2013,24681,"WHG"
2014,25973,"WHG"
2015,26584,"WHG"
